Denominazione;Codice;Sem;CFU;Gruppo;Gruppo_id;Rating;
APPLIED AI IN BIOMEDICINE;56955;1;5;STAT;0;;
ARTIFICIAL NEURAL NETWORKS AND DEEP LEARNING;54307;1;5;STAT;0;;
COMPUTATIONAL STATISTICS;55701;1;5;STAT;0;;
DATA MINING;56892;1;5;STAT;0;;
DESIGN AND ANALYSIS OF EXPERIMENTS B;51132;1;10;STAT;0;;
DIGITAL SIGNAL PROCESSING;93267;1;10;STAT;0;;
MIDDLEWARE TECHNOLOGIES FOR DISTRIBUTED SYSTEMS;52533;1;5;STAT;0;;
NONPARAMETRIC STATISTICS;55703;1;5;STAT;0;;
STREAMING DATA ANALYTICS;56895;1;5;STAT;0;;
HYPERMEDIA APPLICATIONS (WEB AND MULTIMEDIA);89318;2;5;STAT;0;;
MACHINE LEARNING;97683;2;5;STAT;0;;
RELIABILITY ENGINEERING AND QUANTITATIVE RISK ANALYSIS A+B;54248;2;10;STAT;0;;
ADVANCED PROGRAMMING FOR SCIENTIFIC COMPUTING;54073;2;10;CSCL;4;;
MATHEMATICAL AND PHYSICAL MODELING IN ENGINEERING [C.I.];97725;2;10;CSCL;4;;
BAYESIAN STATISTICS;52502;1;8;MTM;1;;
COMPUTATIONAL FINANCE;97667;1;8;MTM;1;;
COMPUTATIONAL STATISTICS;55700;1;8;MTM;1;;
DISCRETE MATHEMATICS;93269;1;5;MTM;1;;
GAME THEORY;52503;1;8;MTM;1;;
GEOMETRIA DIFFERENZIALE;93153;1;8;MTM;1;;
MATHEMATICAL FINANCE II;95981;1;10;MTM;1;;
METHODS AND MODELS FOR STATISTICAL MECHANICS;97660;1;8;MTM;1;;
NONPARAMETRIC STATISTICS;55702;1;8;MTM;1;;
NUMERICAL ANALYSIS FOR MACHINE LEARNING;55697;1;10;MTM;1;;
NUMERICAL ANALYSIS FOR MACHINE LEARNING;55694;1;8;MTM;1;;
STOCHASTIC DIFFERENTIAL EQUATIONS;95975;1;8;MTM;1;;
STOCHASTIC DYNAMICAL MODELS;54074;1;8;MTM;1;;
ADVANCED PARTIAL DIFFERENTIAL EQUATIONS;95963;2;8;MTM;1;;
ADVANCED PROGRAMMING FOR SCIENTIFIC COMPUTING;54073;2;10;MTM;1;;
APPLIED STATISTICS;52498;2;10;MTM;1;;
BIOMATHEMATICAL MODELING;97661;2;8;MTM;1;;
